"row_id","period","customer_asv","customer","mtr_nsi_code","mtr_nsi_name","contract","currency","forecast","country","region","market","client_id","client_name"
"1028421","2026-08-01 00:00:00","78907","HASIRCI TEKSTIL SANAYI VE TICARET ANONIM SIRKETI","1233003","Полипропилен, марка PP H253 FF/7 СТ ТОО 50391885-01-2022","Formula","USD","495","Turkey","Ankara","Турция","CL-10385","Клиент 385"
"1028422","2026-08-01 00:00:00","346790","DOST COLOR BOYA KIMYA SAN.VE TIC.LTD.STI.","1233003","Полипропилен, марка PP H253 FF/7 СТ ТОО 50391885-01-2022","Formula","USD","150","Turkey","Ankara","Турция","CL-10312","Клиент 312"
"1028854","2026-08-01 00:00:00","12570","ООО ""АПО АЛЕКО-ПОЛИМЕРЫ""","1232999","Полипропилен, марка PP H030 GP/7 СТ ТОО 50391885-01-2022","Formula","RUB","300","Russian Federation","The Rostov Area","Россия","CL-10035","Клиент 035"
"1029091","2026-08-01 00:00:00","12570","ООО ""АПО АЛЕКО-ПОЛИМЕРЫ""","226814","Полипропилен, марка PP H030 GP/3, ТУ 2211-006-93911504-2015","Formula","RUB","250","Russian Federation","The Rostov Area","Россия","CL-10035","Клиент 035"
"1030175","2026-08-01 00:00:00","268959","ООО ""ФЛЕКС ФИЛМС РУС""","1807123","Полипропилен, марка SIBEX PP T085 CF/5 ТС НКНХ-038-2024","Spot","RUB","67.5","Russian Federation","The Moscow Area","Россия","CL-10184","Клиент 184"
"1030543","2026-08-01 00:00:00","345401","ТЕХНИЧЕСКИЙ КЛИЕНТ СПОТ РФ СНГ","1005969","Полиэтилен, марка HD 10500 FE ТУ 20.16.10-006-81060768-2018","Spot","RUB","21","Russian Federation","The Amur Area","Россия","CL-10310","Клиент 310"
"1030562","2026-08-01 00:00:00","350001","ТЕХНИЧЕСКИЙ КЛИЕНТ СПОТ SI","1062990","Полипропилен, марка SIBEX PP I122 IM/3, ТУ 20.16.51-007-81060768-2018","Spot","USD","25.5","Morocco","Morocco region","Africa","CL-10319","Клиент 319"
"1030691","2026-08-01 00:00:00","270123","ООО ""РАШ ЛОГИСТИК ГРУПП""","226814","Полипропилен, марка PP H030 GP/3, ТУ 2211-006-93911504-2015","Spot","RUB","88","Russian Federation","The Astrakhan Area","Россия","CL-10186","Клиент 186"
"1031251","2026-08-01 00:00:00","296220","АО ""ТВВД""","226814","Полипропилен, марка PP H030 GP/3, ТУ 2211-006-93911504-2015","Formula","RUB","95.2","Russian Federation","The Moscow Area","Россия","CL-10228","Клиент 228"
"1031922","2026-08-01 00:00:00","351859","ООО ""ФАБРИКА ПЛЕНКИ""","1353711","Полиэтилен 15303-003, пленочный, сорт высший, ГОСТ 16337-2022","Spot","RUB","1.5","Russian Federation","Primorye Territory","Россия","CL-10323","Клиент 323"
"1032221","2026-08-01 00:00:00","286609","АО ""АБ ИНБЕВ ЭФЕС""","1392438","Полиэтилен 15313-003, высший сорт (ТП) ГОСТ 16337-2022","Formula","RUB","176","Russian Federation","Tatarstan Republic","Россия","CL-10210","Клиент 210"
"1032223","2026-08-01 00:00:00","17074","ООО ПКФ ""СИЛУЭТ""","1006121","Полипропилен, марка PP H030 GP/3, ТУ 20.16.51-007-81060768-2018","Formula","RUB","309.375","Russian Federation","The Yaroslavl Area","Россия","CL-10128","Клиент 128"
"1032243","2026-08-01 00:00:00","316899","ООО ""КАМЕНСКХИМВОЛОКНО""","226858","Полипропилен, марка SIBEX PP H043 FF/3, ТУ 2211-006-93911504-2015","Formula","RUB","22.5","Russian Federation","The Rostov Area","Россия","CL-10275","Клиент 275"
"1032247","2026-08-01 00:00:00","12281","ООО ""ПОЛИПЛЕКС""","1005972","Полиэтилен, марка HD 03580 SB ТУ 20.16.10-006-81060768-2018","Formula","RUB","22.5","Russian Federation","Highlands-Altay Rep.","Россия","CL-10032","Клиент 032"
"1032258","2026-08-01 00:00:00","49300","ООО ""ДАНАФЛЕКС-НАНО""","227402","Полипропилен, марка SIBEX PP H081 CF/2 ТУ 2211-002-14596232-2016","Formula","RUB","260","Russian Federation","Tatarstan Republic","Россия","CL-10342","Клиент 342"
"1032284","2026-08-01 00:00:00","11839","ООО ""ПРОКТЕР ЭНД ГЭМБЛ-НОВОМОСКОВСК""","1005972","Полиэтилен, марка HD 03580 SB ТУ 20.16.10-006-81060768-2018","Formula","RUB","90","Russian Federation","The Tula Area","Россия","CL-10023","Клиент 023"
"1032306","2026-08-01 00:00:00","154695","ООО ""УМЕЛЕЦ""","159861","Полипропилен, марка SIBEX PP R003 EX/1 ТУ 2211-112-70353562-2015","Formula","RUB","157.5","Russian Federation","The Penza Area","Россия","CL-10092","Клиент 092"
"1032308","2026-08-01 00:00:00","26820","ООО ""ПРОМЫШЛЕННАЯ УПАКОВКА ШАХТЫ""","226814","Полипропилен, марка PP H030 GP/3, ТУ 2211-006-93911504-2015","Formula","RUB","123.6","Russian Federation","The Rostov Area","Россия","CL-10181","Клиент 181"
"1032325","2026-08-01 00:00:00","141688","ООО ""ДАНАФЛЕКС-АЛАБУГА""","227402","Полипропилен, марка SIBEX PP H081 CF/2 ТУ 2211-002-14596232-2016","Formula","RUB","120","Russian Federation","Tatarstan Republic","Россия","CL-10068","Клиент 068"
"1032339","2026-08-01 00:00:00","293683","ООО ""СТМ-РЕШЕНИЯ""","1005969","Полиэтилен, марка HD 10500 FE ТУ 20.16.10-006-81060768-2018","Spot","RUB","80","Russian Federation","Primorye Territory","Россия","CL-10221","Клиент 221"
"1032354","2026-08-01 00:00:00","312279","CHEMICAL TRADING VIETNAM COMPANY LIMITED","226936","Полипропилен, марка PP H250 GP/3, ТУ 2211-006-93911504-2015","Spot","USD","50","Vietnam","Hanoi","Вьетнам","CL-10269","Клиент 269"
"1032402","2026-08-01 00:00:00","132210","ООО ""ЛАММИН""","159861","Полипропилен, марка SIBEX PP R003 EX/1 ТУ 2211-112-70353562-2015","Formula","RUB","357.75","Russian Federation","The Vladimir Area","Россия","CL-10052","Клиент 052"
"1032410","2026-08-01 00:00:00","17543","ООО ""ПК КОНТУР""","1062983","Полипропилен, марка SIBEX PP R003 EX/3, ТУ 20.16.51-007-81060768-2018","Formula","RUB","184.5","Russian Federation","The Sverdlovsk Area","Россия","CL-10137","Клиент 137"
