"quote_type","quote_name","tech_quote_name","quote_code","quote_date","quote_currency","quote_val","tech_load_ts"
"ОФ","IsoButanol CFR E Asia","isobutanol cfr e asia","938750627","2026-05-01 00:00:00","USD","1086.3938","2026-05-18 11:00:45"
"Факт","PPB CFR China","ppb cfr china","938750078","2026-04-01 00:00:00","USD","1282.5","2026-06-04 00:00:49"
"Факт","Polyols Flexible Slabstock Bulk DEL China","polyols flexible slabstock bulk del china","938751094","2026-04-01 00:00:00","USD","1732","2026-06-04 00:00:49"
"Факт","PPR CFR China","ppr cfr china","938751651","2026-04-01 00:00:00","USD","1322.5","2026-07-14 11:01:10"
"Факт","Propylene CFR NE Asia","propylene cfr ne asia","938750350","2026-05-01 00:00:00","USD","1232","2026-06-04 00:00:49"
"Факт","HDPE IM FD NWE","hdpe im fd nwe","938751759","2026-05-01 00:00:00","EUR","1883","2026-06-04 00:00:49"
"Факт","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2026-04-01 00:00:00","EUR","1968","2026-07-14 11:01:10"
"Факт","MEG CFR China","meg cfr china","938750840","2026-04-01 00:00:00","USD","632","2026-06-04 00:00:49"
"Факт","HDPE BM CFR Turkey","hdpe bm cfr turkey","938751759","2026-04-01 00:00:00","USD","1625","2026-06-04 00:00:49"
"Факт","MEG CFR China","meg cfr china","938750840","2026-05-01 00:00:00","USD","621.3","2026-06-04 00:00:49"
"Факт","LDPE CFR Turkey","ldpe cfr turkey","938750908","2026-05-01 00:00:00","USD","1810.625","2026-06-04 00:00:49"
"Факт","LDPE CFR China","ldpe cfr china","938750366","2026-04-01 00:00:00","USD","1371.25","2026-06-04 00:00:49"
"Факт","LLDPE CFR China","lldpe cfr china","938751847","2026-04-01 00:00:00","USD","1097.5","2026-06-04 00:00:49"
"Факт","Ethylene CFR NE Asia","ethylene cfr ne asia","938751945","2026-04-01 00:00:00","USD","1338.75","2026-06-04 00:00:49"
"Факт","Butadiene CFR NE Asia","butadiene cfr ne asia","938750750","2026-05-01 00:00:00","USD","1685","2026-06-04 00:00:49"
"Факт","LDPE CFR Iran","ldpe cfr iran","938750961","2026-05-01 00:00:00","USD","1783.75","2026-06-04 00:00:49"
"Факт","DEG CFR China","deg cfr china","938750381","2026-04-01 00:00:00","USD","895","2026-06-04 00:00:49"
"Факт","LDPE CFR Turkey","ldpe cfr turkey","938750908","2026-04-01 00:00:00","USD","1776","2026-06-04 00:00:49"
"Факт","PPH CFR Turkey","pph cfr turkey","938752035","2026-05-01 00:00:00","USD","1517.5","2026-06-04 00:00:49"
"Факт","Acrylic Acid Glacial DEL E China","acrylic acid glacial del e china","24764500007","2026-05-01 00:00:00","USD","1290.98515","2026-06-04 00:00:49"
"Факт","Acrylic Acid Glacial DEL E China","acrylic acid glacial del e china","24764500007","2026-04-01 00:00:00","USD","1714.12441","2026-06-04 00:00:49"
"Факт","Methyl Acrylate DEL E China","methyl acrylate del e china","24764500029","2026-04-01 00:00:00","USD","2011.10147","2026-06-04 00:00:49"
"Факт","LDPE CFR Iran","ldpe cfr iran","938750961","2026-04-01 00:00:00","USD","1744","2026-06-04 00:00:49"
"Факт","LLDPE CFR Turkey","lldpe cfr turkey","938750572","2026-05-01 00:00:00","USD","1633.75","2026-06-04 00:00:49"
"Факт","Polyols Flexible Slabstock Bulk DEL China","polyols flexible slabstock bulk del china","938751094","2026-05-01 00:00:00","USD","1294","2026-06-04 00:00:49"
"Факт","PPR CFR China","ppr cfr china","938751651","2026-05-01 00:00:00","USD","1408","2026-07-14 11:01:10"
"Факт","PPH CFR China","pph cfr china","938751962","2026-04-01 00:00:00","USD","1217.5","2026-06-04 00:00:49"
"Факт","HDPE IM CFR China","hdpe im cfr china","938750747","2026-05-01 00:00:00","USD","1096","2026-06-04 00:00:49"
"ОФ","LDPE CFR China","ldpe cfr china","938750366","2026-04-01 00:00:00","USD","1443.56132","2026-04-17 16:01:03"
